SEX,AGE,ISO,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
F,15-19,AT,11.7,14.6,14.4,12.3,10.1,11.8,14.1,15.7,14.9,14.7
F,15-19,BA,NaN,NaN,NaN,NaN,NaN,NaN,63.1,54.7,NaN,56.8
F,15-19,BE,28.2,26.8,19.0,19.8,17.1,20.3,19.7,18.6,19.7,21.3
F,15-19,BG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,15-19,CH,9.7,9.0,8.9,9.0,8.3,9.0,9.9,8.0,9.4,11.0
F,15-19,CY,45.4,49.5,44.0,NaN,NaN,NaN,35.5,28.7,NaN,NaN
F,15-19,CZ,32.7,26.8,23.6,16.7,15.4,21.8,20.9,22.2,19.9,25.5
F,15-19,DE,8.0,7.8,7.9,6.8,6.4,9.5,9.2,8.6,7.7,7.6
F,15-19,DK,12.6,13.9,15.3,11.6,12.3,14.3,12.8,11.4,14.6,18.1
F,15-19,EE,NaN,NaN,NaN,20.2,NaN,NaN,32.8,24.9,29.5,NaN
F,15-19,GR,68.4,58.0,65.2,58.7,49.9,49.9,55.6,54.7,46.1,52.5
F,15-19,ES,70.7,61.6,55.1,49.8,48.5,61.0,52.4,44.5,42.8,44.3
F,15-19,FI,28.0,29.5,28.8,24.9,23.6,27.2,24.7,21.6,21.4,27.0
F,15-19,FR,35.0,33.8,31.3,28.5,27.1,28.7,28.3,24.4,26.2,29.7
F,15-19,HR,64.6,59.3,42.1,37.8,34.7,57.9,38.8,52.6,45.6,50.1
F,15-19,HU,40.6,25.5,25.5,22.1,27.3,26.1,28.6,26.6,35.7,41.6
F,15-19,IE,21.5,20.2,20.2,22.1,18.8,21.5,22.8,13.6,15.6,15.1
F,15-19,IS,9.8,8.4,11.1,NaN,NaN,12.0,12.3,NaN,10.5,10.7
F,15-19,IT,66.1,59.3,55.3,55.9,52.9,50.3,55.4,45.5,38.7,41.7
F,15-19,LT,NaN,NaN,NaN,NaN,NaN,21.3,NaN,NaN,23.0,32.5
F,15-19,LU,NaN,31.6,NaN,NaN,29.1,37.2,28.7,36.4,NaN,NaN
F,15-19,LV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,15-19,ME,NaN,51.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,15-19,MK,44.2,58.1,54.9,63.2,37.9,47.7,62.9,48.8,54.5,37.4
F,15-19,MT,21.0,22.3,20.2,14.1,NaN,NaN,NaN,NaN,NaN,NaN
F,15-19,NL,14.8,13.2,11.1,8.8,7.5,10.7,12.6,11.1,11.0,10.7
F,15-19,NO,13.2,14.0,13.3,12.6,15.2,15.9,18.8,12.9,14.9,17.5
F,15-19,PL,33.4,31.2,25.2,16.2,21.6,NaN,NaN,NaN,26.8,32.7
F,15-19,PT,51.5,41.8,36.3,35.9,29.4,35.7,40.9,42.0,34.3,38.8
F,15-19,RO,34.3,35.0,33.0,26.9,29.2,31.9,45.2,50.0,40.4,53.2
F,15-19,RS,59.0,46.3,53.6,47.5,47.4,42.0,34.8,43.7,31.1,36.5
F,15-19,SE,31.4,29.9,27.9,26.3,30.3,35.2,37.7,34.2,33.0,35.7
F,15-19,SI,13.8,13.9,15.1,NaN,13.7,25.8,21.3,NaN,23.5,21.9
F,15-19,SK,58.3,46.8,44.9,35.8,50.8,NaN,NaN,NaN,NaN,NaN
F,15-19,TR,18.4,17.1,18.2,20.4,23.6,23.3,22.6,20.5,19.2,18.7
F,15-24,AT,10.0,10.2,8.7,9.4,7.8,9.5,11.3,9.5,10.7,10.1
F,15-24,BA,NaN,NaN,NaN,NaN,NaN,NaN,44.5,42.1,33.2,35.6
F,15-24,BE,20.0,18.2,18.0,15.3,12.3,15.1,16.2,14.4,14.4,14.8
F,15-24,BG,22.3,16.9,12.4,11.9,8.2,13.7,15.1,10.4,11.1,11.7
F,15-24,CH,8.4,8.4,8.0,7.5,7.2,8.0,8.3,6.8,7.6,8.5
F,15-24,CY,31.1,31.8,22.9,16.2,15.1,11.7,16.1,18.0,14.7,13.6
F,15-24,CZ,14.4,11.4,8.7,7.2,6.0,9.2,9.1,7.9,8.8,9.9
F,15-24,DE,6.5,6.1,5.8,5.1,4.8,6.7,6.5,5.5,5.3,5.9
F,15-24,DK,11.1,10.8,11.9,9.2,9.7,10.7,11.0,10.5,11.3,14.2
F,15-24,EE,13.0,10.7,9.5,11.2,12.1,18.6,15.0,16.5,16.4,19.3
F,15-24,GR,55.0,50.7,48.2,43.9,37.1,39.3,40.9,38.8,29.4,24.1
F,15-24,ES,48.0,44.9,37.4,33.3,34.5,39.7,36.2,30.9,28.5,27.1
F,15-24,FI,19.7,18.6,19.3,16.8,15.6,19.4,16.4,14.0,15.4,18.0
F,15-24,FR,23.4,24.0,21.2,19.9,18.1,19.9,18.8,16.0,16.1,18.4
F,15-24,HR,43.5,31.0,27.2,29.1,18.8,23.9,26.3,22.1,21.9,18.2
F,15-24,HU,16.0,12.9,12.1,10.7,11.0,14.2,15.6,9.6,12.3,14.8
F,15-24,IE,16.3,13.6,12.6,12.6,10.6,15.3,14.6,9.9,10.6,10.3
F,15-24,IS,6.7,6.4,7.1,5.6,5.6,9.0,10.9,5.6,7.2,9.4
F,15-24,IT,42.6,39.6,37.3,34.9,31.1,32.0,32.8,25.8,25.2,22.2
F,15-24,LT,16.6,12.6,11.7,10.1,9.3,17.3,14.7,10.4,10.2,16.4
F,15-24,LU,15.7,18.0,13.2,11.9,16.0,21.3,16.1,18.5,22.7,18.1
F,15-24,LV,14.2,12.1,15.4,11.8,10.1,15.5,14.6,10.2,10.0,14.1
F,15-24,ME,34.5,34.6,33.1,23.6,24.3,39.7,NaN,NaN,NaN,NaN
F,15-24,MK,43.3,48.8,48.6,43.2,38.9,38.6,39.7,38.2,30.6,27.8
F,15-24,MT,9.8,11.4,9.9,6.7,8.6,8.3,6.0,6.0,NaN,8.2
F,15-24,NL,11.2,10.3,8.8,6.6,6.2,9.0,9.0,8.0,8.2,8.5
F,15-24,NO,8.6,9.3,9.0,8.6,9.5,10.5,11.8,8.8,10.6,11.4
F,15-24,PL,20.9,18.0,15.1,12.1,9.9,11.4,12.3,11.2,11.1,10.9
F,15-24,PT,34.1,28.6,25.3,20.5,21.3,24.0,26.7,20.5,20.1,22.4
F,15-24,RO,23.4,21.8,18.6,16.2,17.5,16.5,21.2,24.9,22.2,25.1
F,15-24,RS,48.4,39.5,36.3,32.0,29.9,29.5,28.9,26.0,27.0,23.1
F,15-24,SE,19.6,17.3,17.0,16.3,19.7,22.8,24.1,23.5,21.6,23.6
F,15-24,SI,14.6,14.7,13.0,9.6,9.2,16.2,14.4,12.0,8.7,10.9
F,15-24,SK,27.5,26.3,20.2,16.1,19.7,21.2,22.0,21.7,16.0,18.9
